station_id,created_at,latitude,line_name,longitude,station_code,station_name,updated_at
1,"2026-01-26 11:17:48.222499",37.948565,1호선,127.061162,100,소요산역,"2026-01-26 11:18:09.104394"
2,"2026-01-26 11:17:48.264352",37.995102,1호선,127.074368,100-1,청산역,"2026-01-26 11:18:09.104394"
3,"2026-01-26 11:17:48.272543",38.024335,1호선,127.071429,100-2,전곡역,"2026-01-26 11:18:09.104394"
4,"2026-01-26 11:17:48.277656",38.101498,1호선,127.073791,100-3,연천역,"2026-01-26 11:18:09.104394"
5,"2026-01-26 11:17:48.283076",37.927341,1호선,127.054649,101,동두천역,"2026-01-26 11:18:09.104394"
6,"2026-01-26 11:17:48.289406",37.914065,1호선,127.057179,102,보산역,"2026-01-26 11:18:09.104394"
7,"2026-01-26 11:17:48.294841",37.901504,1호선,127.056438,103,동두천중앙역,"2026-01-26 11:18:09.104394"
8,"2026-01-26 11:17:48.300824",37.892247,1호선,127.055709,104,지행역,"2026-01-26 11:18:09.104394"
9,"2026-01-26 11:17:48.306769",37.843407,1호선,127.061479,105,덕정역,"2026-01-26 11:18:09.104394"
10,"2026-01-26 11:17:48.312752",37.818528,1호선,127.056513,106,덕계역,"2026-01-26 11:18:09.104394"
11,"2026-01-26 11:17:48.317049",37.774075,1호선,127.044681,107,양주역,"2026-01-26 11:18:09.104394"
12,"2026-01-26 11:17:48.321835",37.759282,1호선,127.042233,108,녹양역,"2026-01-26 11:18:09.104394"
13,"2026-01-26 11:17:48.326210",37.748327,1호선,127.044339,109,가능역,"2026-01-26 11:18:09.104394"
14,"2026-01-26 11:17:48.331075",37.738375,1호선,127.04597,110,의정부역,"2026-01-26 11:18:09.104394"
15,"2026-01-26 11:17:48.335951",37.724171,1호선,127.047303,111,회룡역,"2026-01-26 11:18:09.104394"
16,"2026-01-26 11:17:48.340281",37.71032,1호선,127.04735,112,망월사역,"2026-01-26 11:18:09.104394"
17,"2026-01-26 11:17:48.344589",37.689484,1호선,127.046077,113,도봉산역,"2026-01-26 11:18:09.104394"
18,"2026-01-26 11:17:48.348288",37.679187,1호선,127.045503,114,도봉역,"2026-01-26 11:18:09.104394"
19,"2026-01-26 11:17:48.351992",37.667347,1호선,127.044304,115,방학역,"2026-01-26 11:18:09.104394"
20,"2026-01-26 11:17:48.356259",37.652989,1호선,127.047812,116,창동역,"2026-01-26 11:18:09.104394"
21,"2026-01-26 11:17:48.360648",37.644571,1호선,127.051456,117,녹천역,"2026-01-26 11:18:09.104394"
22,"2026-01-26 11:17:48.364979",37.633295,1호선,127.058813,118,월계역,"2026-01-26 11:18:09.104394"
23,"2026-01-26 11:17:48.369209",37.623658,1호선,127.061834,119,광운대역,"2026-01-26 11:18:09.104394"
24,"2026-01-26 11:17:48.373709",37.615041,1호선,127.065723,120,석계역,"2026-01-26 11:18:09.104394"
25,"2026-01-26 11:17:48.377481",37.601761,1호선,127.067288,121,신이문역,"2026-01-26 11:18:09.104394"
26,"2026-01-26 11:17:48.381288",37.59576,1호선,127.063294,122,외대앞역,"2026-01-26 11:18:09.104394"
27,"2026-01-26 11:17:48.384537",37.5896,1호선,127.057683,123,회기역,"2026-01-26 11:18:09.104394"
28,"2026-01-26 11:17:48.387592",37.580148,1호선,127.045063,124,청량리역,"2026-01-26 11:18:09.104394"
29,"2026-01-26 11:17:48.391673",37.578116,1호선,127.034902,125,제기동역,"2026-01-26 11:18:09.104394"
30,"2026-01-26 11:17:48.394672",37.576117,1호선,127.02471,126,신설동역,"2026-01-26 11:18:09.104394"
31,"2026-01-26 11:17:48.399255",37.573265,1호선,127.016459,127,동묘앞역,"2026-01-26 11:18:09.104394"
32,"2026-01-26 11:17:48.403619",37.57179,1호선,127.011383,128,동대문역,"2026-01-26 11:18:09.104394"
33,"2026-01-26 11:17:48.408054",37.570971,1호선,127.0019,129,종로5가역,"2026-01-26 11:18:09.104394"
34,"2026-01-26 11:17:48.412448",37.570429,1호선,126.992095,130,종로3가역,"2026-01-26 11:18:09.104394"
35,"2026-01-26 11:17:48.417280",37.570203,1호선,126.983116,131,종각역,"2026-01-26 11:18:09.104394"
36,"2026-01-26 11:17:48.422688",37.56359,1호선,126.975407,132,시청역,"2026-01-26 11:18:09.104394"
37,"2026-01-26 11:17:48.429217",37.55315,1호선,126.972533,133,서울역,"2026-01-26 11:18:09.104394"
38,"2026-01-26 11:17:48.436033",37.540796,1호선,126.971282,134,남영역,"2026-01-26 11:18:09.104394"
39,"2026-01-26 11:17:48.441942",37.529613,1호선,126.964589,135,용산역,"2026-01-26 11:18:09.104394"
40,"2026-01-26 11:17:48.447864",37.514118,1호선,126.94196,136,노량진역,"2026-01-26 11:18:09.104394"
41,"2026-01-26 11:17:48.453787",37.513355,1호선,126.92664,137,대방역,"2026-01-26 11:18:09.104394"
42,"2026-01-26 11:17:48.461811",37.516972,1호선,126.917335,138,신길역,"2026-01-26 11:18:09.104394"
43,"2026-01-26 11:17:48.469211",37.515524,1호선,126.907705,139,영등포역,"2026-01-26 11:18:09.104394"
44,"2026-01-26 11:17:48.475611",37.508877,1호선,126.891291,140,신도림역,"2026-01-26 11:18:09.104394"
45,"2026-01-26 11:17:48.481025",37.502981,1호선,126.881888,141,구로역,"2026-01-26 11:18:09.104394"
46,"2026-01-26 11:17:48.486918",37.496046,1호선,126.869398,142,구일역,"2026-01-26 11:18:09.104394"
47,"2026-01-26 11:17:48.492283",37.494575,1호선,126.858867,143,개봉역,"2026-01-26 11:18:09.104394"
48,"2026-01-26 11:17:48.498337",37.494301,1호선,126.844301,144,오류동역,"2026-01-26 11:18:09.104394"
